bigram,frequency,word1,word2,word1_freq,word2_freq
"('incomprehensible', 'infinite')",0.00013493455673998112,incomprehensible,infinite,0.0009444144630329196,0.0021586616297895305
"('vast', 'difference')",0.00026986911347996224,vast,difference,0.0002698327037236913,0.0002698327037236913
"('merciful', 'being')",0.00013493455673998112,merciful,being,0.0002698327037236913,0.007015650296815974
"('are', 'there')",0.00026986911347996224,are,there,0.009174311926605505,0.0076902320561252025
"('means', 'all')",0.00013493455673998112,means,all,0.0006745817593092283,0.0124123043712898
"('grounds', 'as')",0.00013493455673998112,grounds,as,0.0002698327037236913,0.0124123043712898
"('a', 'supply')",0.00013493455673998112,a,supply,0.016189962223421478,0.00013491635186184566
"('into', 'all')",0.00013493455673998112,into,all,0.0005396654074473826,0.0124123043712898
"('in', 'some')",0.0004048036702199433,in,some,0.01834862385321101,0.0022935779816513763
"('ago', 'determin')",0.00013493455673998112,ago,determin,0.00040474905558553697,0.00013491635186184566
"('weight', 'against')",0.00013493455673998112,weight,against,0.0002698327037236913,0.0025634106853750674
"('with', 'what')",0.00013493455673998112,with,what,0.0022935779816513763,0.002698327037236913
"('sufficient', 'that')",0.00013493455673998112,sufficient,that,0.00040474905558553697,0.03143550998381004
"('as', 'of')",0.00026986911347996224,as,of,0.0124123043712898,0.04128440366972477
"('as', 'i')",0.0009445418971798677,as,i,0.0124123043712898,0.005801403130059364
"('good', 'easie')",0.00013493455673998112,good,easie,0.0010793308148947653,0.0005396654074473826
"('thing', 'is')",0.0004048036702199433,thing,is,0.0059363194819212085,0.021586616297895305
"('appear', 'unintelligible')",0.00013493455673998112,appear,unintelligible,0.00040474905558553697,0.0002698327037236913
"('and', 'action')",0.00013493455673998112,and,action,0.048704803022126285,0.00013491635186184566
"('which', 'yet')",0.00013493455673998112,which,yet,0.006745817593092283,0.0016189962223421479
"('these', 'sublime')",0.00013493455673998112,these,sublime,0.003912574203993524,0.00013491635186184566
"('it', 'much')",0.00013493455673998112,it,much,0.010118726389638424,0.0009444144630329196
"('as', 'are')",0.0006746727836999055,as,are,0.0124123043712898,0.009174311926605505
"('means', 'that')",0.00013493455673998112,means,that,0.0006745817593092283,0.03143550998381004
"('have', 'met')",0.00013493455673998112,have,met,0.009579060982191042,0.0002698327037236913
"('mind', 'of')",0.00013493455673998112,mind,of,0.0017539125742039934,0.04128440366972477
"('that', 'are')",0.0017541492376197544,that,are,0.03143550998381004,0.009174311926605505
"('wanting', 'in')",0.00026986911347996224,wanting,in,0.0002698327037236913,0.01834862385321101
"('brisk', 'agitation')",0.00013493455673998112,brisk,agitation,0.00013491635186184566,0.00013491635186184566
"('any', 'creatures')",0.00013493455673998112,any,creatures,0.009444144630329197,0.0002698327037236913
"('very', 'unreasonable')",0.00013493455673998112,very,unreasonable,0.0037776578521316784,0.00013491635186184566
"('empiricus', 'and')",0.00013493455673998112,empiricus,and,0.0002698327037236913,0.048704803022126285
"('cannot', 'see')",0.0004048036702199433,cannot,see,0.003507825148407987,0.0010793308148947653
"('from', 'matter')",0.00013493455673998112,from,matter,0.004991905018888289,0.0008094981111710739
"('can', 'directly')",0.00013493455673998112,can,directly,0.008229897463572585,0.00040474905558553697
"('one', 'that')",0.0008096073404398866,one,that,0.004452239611440907,0.03143550998381004
"('tenets', 'i')",0.00013493455673998112,tenets,i,0.00013491635186184566,0.005801403130059364
"('wise', 'they')",0.00013493455673998112,wise,they,0.0006745817593092283,0.007960064759848893
"('indestructible', 'and')",0.00013493455673998112,indestructible,and,0.00013491635186184566,0.048704803022126285
"('writers', 'do')",0.00013493455673998112,writers,do,0.0008094981111710739,0.0020237452779276847
"('he', 'is')",0.0017541492376197544,he,is,0.011467889908256881,0.021586616297895305
"('so', 'at')",0.00013493455673998112,so,at,0.003912574203993524,0.0045871559633027525
"('determine', 'now')",0.00013493455673998112,determine,now,0.00040474905558553697,0.002833243389098759
"('we', 'consider')",0.00013493455673998112,we,consider,0.013491635186184566,0.0012142471667566108
"('come', 'the')",0.00013493455673998112,come,the,0.0013491635186184566,0.03710199676200755
"('up', 'one')",0.00013493455673998112,up,one,0.00040474905558553697,0.004452239611440907
"('and', 'comprehend')",0.00013493455673998112,and,comprehend,0.048704803022126285,0.0008094981111710739
"('one', 'must')",0.00013493455673998112,one,must,0.004452239611440907,0.005126821370750135
"('of', 'doing')",0.00013493455673998112,of,doing,0.04128440366972477,0.0002698327037236913
"('and', 'power')",0.00013493455673998112,and,power,0.048704803022126285,0.0020237452779276847
"('nor', 'knowledge')",0.00013493455673998112,nor,knowledge,0.0032379924446842958,0.002833243389098759
"('of', 'refuting')",0.00013493455673998112,of,refuting,0.04128440366972477,0.00013491635186184566
"('no', 'conception')",0.00013493455673998112,no,conception,0.007420399352401511,0.0006745817593092283
"('some', 'improving')",0.00013493455673998112,some,improving,0.0022935779816513763,0.00013491635186184566
"('observed', 'from')",0.00013493455673998112,observed,from,0.00013491635186184566,0.004991905018888289
"('and', 'because')",0.0004048036702199433,and,because,0.048704803022126285,0.0022935779816513763
"('truth', 'but')",0.00013493455673998112,truth,but,0.0009444144630329196,0.007015650296815974
"('do', 'that')",0.00013493455673998112,do,that,0.0020237452779276847,0.03143550998381004
"('account', 'as')",0.00013493455673998112,account,as,0.0013491635186184566,0.0124123043712898
"('is', 'imperfect')",0.00013493455673998112,is,imperfect,0.021586616297895305,0.0012142471667566108
"('to', 'day')",0.00013493455673998112,to,day,0.024015110631408525,0.00013491635186184566
"('wicked', 'men')",0.00013493455673998112,wicked,men,0.0006745817593092283,0.0013491635186184566
"('apollonius', 'in')",0.00013493455673998112,apollonius,in,0.0002698327037236913,0.01834862385321101
"('in', 'nature')",0.0005397382269599245,in,nature,0.01834862385321101,0.003912574203993524
"('hears', 'smells')",0.00013493455673998112,hears,smells,0.00013491635186184566,0.00013491635186184566
"('censure', 'of')",0.00026986911347996224,censure,of,0.0002698327037236913,0.04128440366972477
"('insinuate', 'vid')",0.00013493455673998112,insinuate,vid,0.00013491635186184566,0.00040474905558553697
"('doubt', 'not')",0.00026986911347996224,doubt,not,0.0014840798704803021,0.0076902320561252025
"('no', 'means')",0.0004048036702199433,no,means,0.007420399352401511,0.0006745817593092283
"('and', 'be')",0.00013493455673998112,and,be,0.048704803022126285,0.013491635186184566
"('say', 'there')",0.00013493455673998112,say,there,0.0017539125742039934,0.0076902320561252025
"('phantasms', 'and')",0.00013493455673998112,phantasms,and,0.0002698327037236913,0.048704803022126285
"('non', 'capit')",0.00013493455673998112,non,capit,0.0016189962223421479,0.00013491635186184566
"('for', 'at')",0.00013493455673998112,for,at,0.0076902320561252025,0.0045871559633027525
"('to', 'make')",0.0004048036702199433,to,make,0.024015110631408525,0.0013491635186184566
"('the', 'noise')",0.00013493455673998112,the,noise,0.03710199676200755,0.00013491635186184566
"('know', 'and')",0.00026986911347996224,know,and,0.0032379924446842958,0.048704803022126285
"('the', 'rabble')",0.00013493455673998112,the,rabble,0.03710199676200755,0.00013491635186184566
"('think', 'we')",0.00013493455673998112,think,we,0.0016189962223421479,0.013491635186184566
"('their', 'vicious')",0.00013493455673998112,their,vicious,0.004991905018888289,0.00013491635186184566
"('same', 'proportion')",0.00013493455673998112,same,proportion,0.0018888289260658392,0.0005396654074473826
"('they', 'seem')",0.00013493455673998112,they,seem,0.007960064759848893,0.00013491635186184566
"('the', 'ministers')",0.00013493455673998112,the,ministers,0.03710199676200755,0.00013491635186184566
"('as', 'to')",0.0006746727836999055,as,to,0.0124123043712898,0.024015110631408525
"('been', 'always')",0.00013493455673998112,been,always,0.0013491635186184566,0.0005396654074473826
"('apology', 'that')",0.00013493455673998112,apology,that,0.00013491635186184566,0.03143550998381004
"('thoughts', 'have')",0.00013493455673998112,thoughts,have,0.0012142471667566108,0.009579060982191042
"('discover', 'his')",0.00013493455673998112,discover,his,0.0009444144630329196,0.0064759848893685915
"('i', 'can')",0.0005397382269599245,i,can,0.005801403130059364,0.008229897463572585
"('losing', 'their')",0.00013493455673998112,losing,their,0.00013491635186184566,0.004991905018888289
"('all', 'the')",0.0018890837943597355,all,the,0.0124123043712898,0.03710199676200755
"('think', 'consider')",0.00013493455673998112,think,consider,0.0016189962223421479,0.0012142471667566108
"('cannot', 'by')",0.00013493455673998112,cannot,by,0.003507825148407987,0.006071235833783054
"('glory', 'c')",0.00013493455673998112,glory,c,0.00013491635186184566,0.0006745817593092283
"('they', 'deliver')",0.00013493455673998112,they,deliver,0.007960064759848893,0.0002698327037236913
"('absurdity', 'and')",0.00013493455673998112,absurdity,and,0.00013491635186184566,0.048704803022126285
"('clear', 'an')",0.00013493455673998112,clear,an,0.0006745817593092283,0.003912574203993524
"('must', 'grant')",0.00026986911347996224,must,grant,0.005126821370750135,0.0005396654074473826
"('something', 'and')",0.00013493455673998112,something,and,0.0013491635186184566,0.048704803022126285
"('excellent', 'in')",0.00013493455673998112,excellent,in,0.0006745817593092283,0.01834862385321101
"('candidly', 'own')",0.00013493455673998112,candidly,own,0.00013491635186184566,0.0021586616297895305
"('are', 'finite')",0.00013493455673998112,are,finite,0.009174311926605505,0.0013491635186184566
"('and', 'set')",0.00013493455673998112,and,set,0.048704803022126285,0.0002698327037236913
"('advantageous', 'revolution')",0.00013493455673998112,advantageous,revolution,0.0002698327037236913,0.00013491635186184566
"('must', 'by')",0.00013493455673998112,must,by,0.005126821370750135,0.006071235833783054
"('nor', 'discover')",0.00026986911347996224,nor,discover,0.0032379924446842958,0.0009444144630329196
"('very', 'doubting')",0.00013493455673998112,very,doubting,0.0037776578521316784,0.00013491635186184566
"('absolutely', 'unconceivable')",0.00026986911347996224,absolutely,unconceivable,0.0008094981111710739,0.00040474905558553697
"('were', 'quite')",0.00013493455673998112,were,quite,0.0017539125742039934,0.00013491635186184566
"('men', 'of')",0.00026986911347996224,men,of,0.0013491635186184566,0.04128440366972477
"('another', 'to')",0.00013493455673998112,another,to,0.0012142471667566108,0.024015110631408525
"('capacity', 'that')",0.00013493455673998112,capacity,that,0.0002698327037236913,0.03143550998381004
"('knowledge', 'we')",0.00013493455673998112,knowledge,we,0.002833243389098759,0.013491635186184566
"('and', 'oblige')",0.00013493455673998112,and,oblige,0.048704803022126285,0.00013491635186184566
"('last', 'prove')",0.00013493455673998112,last,prove,0.00040474905558553697,0.0009444144630329196
"('infidelity', 'themselves')",0.00013493455673998112,infidelity,themselves,0.0006745817593092283,0.0009444144630329196
"('wisdom', 'justice')",0.00013493455673998112,wisdom,justice,0.0006745817593092283,0.00013491635186184566
"('s', 'in')",0.00013493455673998112,s,in,0.002698327037236913,0.01834862385321101
