bigram,frequency,word1,word2,word1_freq,word2_freq
"('miſtakes', 'to')",3.237188825224175e-05,miſtakes,to,0.00016185420173507703,0.0384565583322543
"('our', 'preſent')",0.00022660321776569228,our,preſent,0.005794380422115758,0.0005179334455522465
"('eſtimate', 'what')",3.237188825224175e-05,eſtimate,what,0.00016185420173507703,0.003560792438171695
"('phaenomenon', 'has')",3.237188825224175e-05,phaenomenon,has,3.237084034701541e-05,0.00197462126116794
"('you', 'already')",3.237188825224175e-05,you,already,0.007348180758772498,0.0005826751262462774
"('other', 'internal')",3.237188825224175e-05,other,internal,0.004596659329276188,0.00022659588242910785
"('circle', 'divided')",3.237188825224175e-05,circle,divided,0.000712158487634339,0.00022659588242910785
"('air', 'is')",3.237188825224175e-05,air,is,6.474168069403081e-05,0.009840735465492684
"('way', 'diſallow')",3.237188825224175e-05,way,diſallow,0.0010034960507574776,9.711252104104622e-05
"('knowledge', 'arnob')",3.237188825224175e-05,knowledge,arnob,0.0008092710086753853,0.000712158487634339
"('ſoever', 'can')",3.237188825224175e-05,ſoever,can,0.0003560792438171695,0.003010488152272433
"('perfections', 'god')",3.237188825224175e-05,perfections,god,0.0002913375631231387,0.0018775087401268938
"('thought', 'perhaps')",3.237188825224175e-05,thought,perhaps,0.0006474168069403081,0.0008416418490224006
"('as', 'of')",3.237188825224175e-05,as,of,0.012559886054641978,0.041337563123138674
"('diſſwade', 'curioſity')",3.237188825224175e-05,diſſwade,curioſity,3.237084034701541e-05,0.00022659588242910785
"('him', 'without')",3.237188825224175e-05,him,without,0.0011977210928395701,0.0016832836980448013
"('an', 'inſtrument')",3.237188825224175e-05,an,inſtrument,0.00359316327851871,3.237084034701541e-05
"('property', 'of')",6.47437765044835e-05,property,of,0.00016185420173507703,0.041337563123138674
"('appoſite', 'enough')",3.237188825224175e-05,appoſite,enough,6.474168069403081e-05,0.0008092710086753853
"('true', 'the')",3.237188825224175e-05,true,the,0.0015214294963097241,0.041920238249384956
"('are', 'inſufficient')",3.237188825224175e-05,are,inſufficient,0.009711252104104623,3.237084034701541e-05
"('a', 'traveller')",3.237188825224175e-05,a,traveller,0.01670335361905995,3.237084034701541e-05
"('decrees', 'of')",3.237188825224175e-05,decrees,of,6.474168069403081e-05,0.041337563123138674
"('diſciplines', 'manifeſts')",3.237188825224175e-05,diſciplines,manifeſts,6.474168069403081e-05,3.237084034701541e-05
"('with', 'for')",3.237188825224175e-05,with,for,0.004596659329276188,0.006733134792179205
"('that', 'are')",0.0015862225243598459,that,are,0.031043635892787778,0.009711252104104623
"('them', 'great')",3.237188825224175e-05,them,great,0.005438301178298589,0.0015538003366567395
"('and', 'miſtakes')",3.237188825224175e-05,and,miſtakes,0.028939531270231775,0.00016185420173507703
"('unfitly', 'ſtiled')",3.237188825224175e-05,unfitly,ſtiled,3.237084034701541e-05,3.237084034701541e-05
"('ſo', 'from')",3.237188825224175e-05,ſo,from,0.006020976304544866,0.004661401009970219
"('of', 'ſight')",6.47437765044835e-05,of,ſight,0.041337563123138674,0.0003884500841641849
"('be', 'grown')",3.237188825224175e-05,be,grown,0.01699469118218309,3.237084034701541e-05
"('one', 'that')",0.00019423132951345052,one,that,0.004240580085459018,0.031043635892787778
"('eager', 'diſputes')",3.237188825224175e-05,eager,diſputes,3.237084034701541e-05,9.711252104104622e-05
"('bounds', 'of')",3.237188825224175e-05,bounds,of,0.00012948336138806163,0.041337563123138674
"('fear', 'will')",3.237188825224175e-05,fear,will,0.000550304285899262,0.003787388320600803
"('he', 'is')",0.0003237188825224175,he,is,0.0038197591609478183,0.009840735465492684
"('it', 'fall')",3.237188825224175e-05,it,fall,0.012851223617765117,3.237084034701541e-05
"('grand', 'syllogiſtical')",3.237188825224175e-05,grand,syllogiſtical,0.00012948336138806163,3.237084034701541e-05
"('congruous', 'but')",3.237188825224175e-05,congruous,but,0.00012948336138806163,0.008643014372653114
"('make', 'analyſes')",3.237188825224175e-05,make,analyſes,0.0017156545383918166,3.237084034701541e-05
"('judged', 'by')",3.237188825224175e-05,judged,by,0.00025896672277612325,0.00980836462514567
"('pleaſe', 'or')",3.237188825224175e-05,pleaſe,or,0.00032370840347015407,0.012365661012559885
"('informations', 'of')",3.237188825224175e-05,informations,of,3.237084034701541e-05,0.041337563123138674
"('elſe', 'and')",3.237188825224175e-05,elſe,and,0.00032370840347015407,0.028939531270231775
"('to', 'rules')",3.237188825224175e-05,to,rules,0.0384565583322543,0.0018127670594328628
"('propoſed', 'be')",3.237188825224175e-05,propoſed,be,0.00048556260520523113,0.01699469118218309
"('expiring', 'and')",3.237188825224175e-05,expiring,and,6.474168069403081e-05,0.028939531270231775
"('an', 'old')",3.237188825224175e-05,an,old,0.00359316327851871,9.711252104104622e-05
"('my', 'conjecture')",3.237188825224175e-05,my,conjecture,0.0022335879839440634,0.00016185420173507703
"('caſes', 'within')",3.237188825224175e-05,caſes,within,0.0006150459665932928,0.00022659588242910785
"('arnob', 'not')",3.237188825224175e-05,arnob,not,0.000712158487634339,0.012883594458112133
"('another', 'affirm')",6.47437765044835e-05,another,affirm,0.0012948336138806163,0.0002913375631231387
"('on', 'ſome')",6.47437765044835e-05,on,ſome,0.0017803962190858474,0.005794380422115758
"('we', 'reckon')",3.237188825224175e-05,we,reckon,0.012171435970477793,6.474168069403081e-05
"('ſuch', 'obvious')",3.237188825224175e-05,ſuch,obvious,0.00437006344684708,0.00012948336138806163
"('mens', 'growing')",3.237188825224175e-05,mens,growing,0.00025896672277612325,6.474168069403081e-05
"('me', 'he')",3.237188825224175e-05,me,he,0.0025249255470672018,0.0038197591609478183
"('true', 'good')",3.237188825224175e-05,true,good,0.0015214294963097241,0.0003884500841641849
"('diagonal', 'may')",3.237188825224175e-05,diagonal,may,0.0002913375631231387,0.009322802019940438
"('it', 'needs')",3.237188825224175e-05,it,needs,0.012851223617765117,0.00025896672277612325
"('employ', 'i')",3.237188825224175e-05,employ,i,0.0003560792438171695,0.013563382105399455
"('have', 'recourſe')",3.237188825224175e-05,have,recourſe,0.007412922439466529,0.00012948336138806163
"('whoſe', 'nature')",0.000258975106017934,whoſe,nature,0.0009387543700634469,0.0026544089084552633
"('the', 'pleaſure')",3.237188825224175e-05,the,pleaſure,0.041920238249384956,6.474168069403081e-05
"('it', 'we')",9.711566475672526e-05,it,we,0.012851223617765117,0.012171435970477793
"('all', 'the')",0.0006150658767925933,all,the,0.003787388320600803,0.041920238249384956
"('general', 'that')",0.00019423132951345052,general,that,0.0007445293279813544,0.031043635892787778
